,Unnamed: 0,ba-m,simple-spread-chance,cit-cit--influence,cit-media-influence,peak-time,bucket
291,291,10,0.75,0.05,0.25,7.0,0
292,292,10,0.75,0.05,0.5,6.0,0
293,293,10,0.75,0.05,0.75,6.0,0
294,294,10,0.75,0.1,0.01,12.5,10
295,295,10,0.75,0.1,0.05,8.0,0
296,296,10,0.75,0.1,0.1,9.0,0
297,297,10,0.75,0.1,0.25,6.0,0
298,298,10,0.75,0.1,0.5,4.0,0
299,299,10,0.75,0.1,0.75,5.0,0
300,300,10,0.75,0.25,0.01,18.0,10
301,301,10,0.75,0.25,0.05,8.0,0
302,302,10,0.75,0.25,0.1,5.0,0
303,303,10,0.75,0.25,0.25,5.0,0
304,304,10,0.75,0.25,0.5,4.0,0
305,305,10,0.75,0.25,0.75,3.0,0
306,306,10,0.75,0.5,0.01,12.0,10
307,307,10,0.75,0.5,0.05,5.0,0
308,308,10,0.75,0.5,0.1,5.0,0
309,309,10,0.75,0.5,0.25,4.0,0
310,310,10,0.75,0.5,0.5,4.0,0
311,311,10,0.75,0.5,0.75,3.0,0
312,312,10,0.75,0.75,0.01,10.0,10
313,313,10,0.75,0.75,0.05,5.0,0
314,314,10,0.75,0.75,0.1,5.0,0
315,315,10,0.75,0.75,0.25,5.0,0
316,316,10,0.75,0.75,0.5,3.0,0
317,317,10,0.75,0.75,0.75,3.0,0
