,ba-m,simple-spread-chance,citizen-citizen-influence,citizen-media-influence,organizing-capacity,flint-organizing-strategy,threshold
83,3,0.01,0.05,0.5,1,neighbors-of-neighbors,0
84,3,0.01,0.05,0.5,5,high-degree-cit-and-media,0
85,3,0.01,0.05,0.5,5,high-degree-citizens,0
86,3,0.01,0.05,0.5,5,high-degree-media,0
87,3,0.01,0.05,0.5,5,neighbors-of-neighbors,0
88,3,0.01,0.05,0.75,1,high-degree-cit-and-media,0
89,3,0.01,0.05,0.75,1,high-degree-citizens,0
90,3,0.01,0.05,0.75,1,high-degree-media,0
91,3,0.01,0.05,0.75,1,neighbors-of-neighbors,0
92,3,0.01,0.05,0.75,5,high-degree-cit-and-media,0
93,3,0.01,0.05,0.75,5,high-degree-citizens,0
94,3,0.01,0.05,0.75,5,high-degree-media,0
95,3,0.01,0.05,0.75,5,neighbors-of-neighbors,0
96,3,0.01,0.1,0.01,1,high-degree-cit-and-media,0
97,3,0.01,0.1,0.01,1,high-degree-citizens,0
98,3,0.01,0.1,0.01,1,high-degree-media,0
99,3,0.01,0.1,0.01,1,neighbors-of-neighbors,0
100,3,0.01,0.1,0.01,5,high-degree-cit-and-media,0
101,3,0.01,0.1,0.01,5,high-degree-citizens,0
102,3,0.01,0.1,0.01,5,high-degree-media,0
103,3,0.01,0.1,0.01,5,neighbors-of-neighbors,0
104,3,0.01,0.1,0.05,1,high-degree-cit-and-media,0
105,3,0.01,0.1,0.05,1,high-degree-citizens,0
106,3,0.01,0.1,0.05,1,high-degree-media,0
107,3,0.01,0.1,0.05,1,neighbors-of-neighbors,0
108,3,0.01,0.1,0.05,5,high-degree-cit-and-media,0
109,3,0.01,0.1,0.05,5,high-degree-citizens,0
110,3,0.01,0.1,0.05,5,high-degree-media,0
111,3,0.01,0.1,0.05,5,neighbors-of-neighbors,0
112,3,0.01,0.1,0.1,1,high-degree-cit-and-media,0
113,3,0.01,0.1,0.1,1,high-degree-citizens,0
114,3,0.01,0.1,0.1,1,high-degree-media,0
115,3,0.01,0.1,0.1,1,neighbors-of-neighbors,0
116,3,0.01,0.1,0.1,5,high-degree-cit-and-media,0
117,3,0.01,0.1,0.1,5,high-degree-citizens,0
118,3,0.01,0.1,0.1,5,high-degree-media,0
119,3,0.01,0.1,0.1,5,neighbors-of-neighbors,0
120,3,0.01,0.1,0.25,1,high-degree-cit-and-media,0
121,3,0.01,0.1,0.25,1,high-degree-citizens,0
122,3,0.01,0.1,0.25,1,high-degree-media,0
123,3,0.01,0.1,0.25,1,neighbors-of-neighbors,0
124,3,0.01,0.1,0.25,5,high-degree-cit-and-media,0
125,3,0.01,0.1,0.25,5,high-degree-citizens,0
126,3,0.01,0.1,0.25,5,high-degree-media,0
127,3,0.01,0.1,0.25,5,neighbors-of-neighbors,0
128,3,0.01,0.1,0.5,1,high-degree-cit-and-media,0
129,3,0.01,0.1,0.5,1,high-degree-citizens,0
130,3,0.01,0.1,0.5,1,high-degree-media,0
131,3,0.01,0.1,0.5,1,neighbors-of-neighbors,0
132,3,0.01,0.1,0.5,5,high-degree-cit-and-media,0
133,3,0.01,0.1,0.5,5,high-degree-citizens,0
134,3,0.01,0.1,0.5,5,high-degree-media,0
135,3,0.01,0.1,0.5,5,neighbors-of-neighbors,0
136,3,0.01,0.1,0.75,1,high-degree-cit-and-media,0
137,3,0.01,0.1,0.75,1,high-degree-citizens,0
138,3,0.01,0.1,0.75,1,high-degree-media,0
139,3,0.01,0.1,0.75,1,neighbors-of-neighbors,0
140,3,0.01,0.1,0.75,5,high-degree-cit-and-media,0
141,3,0.01,0.1,0.75,5,high-degree-citizens,0
142,3,0.01,0.1,0.75,5,high-degree-media,0
143,3,0.01,0.1,0.75,5,neighbors-of-neighbors,0
144,3,0.01,0.25,0.01,1,high-degree-cit-and-media,0
145,3,0.01,0.25,0.01,1,high-degree-citizens,0
146,3,0.01,0.25,0.01,1,high-degree-media,0
147,3,0.01,0.25,0.01,1,neighbors-of-neighbors,0
148,3,0.01,0.25,0.01,5,high-degree-cit-and-media,0
149,3,0.01,0.25,0.01,5,high-degree-citizens,0
150,3,0.01,0.25,0.01,5,high-degree-media,0
151,3,0.01,0.25,0.01,5,neighbors-of-neighbors,0
152,3,0.01,0.25,0.05,1,high-degree-cit-and-media,0
153,3,0.01,0.25,0.05,1,high-degree-citizens,0
154,3,0.01,0.25,0.05,1,high-degree-media,0
155,3,0.01,0.25,0.05,1,neighbors-of-neighbors,0
156,3,0.01,0.25,0.05,5,high-degree-cit-and-media,0
157,3,0.01,0.25,0.05,5,high-degree-citizens,0
158,3,0.01,0.25,0.05,5,high-degree-media,0
159,3,0.01,0.25,0.05,5,neighbors-of-neighbors,0
160,3,0.01,0.25,0.1,1,high-degree-cit-and-media,0
161,3,0.01,0.25,0.1,1,high-degree-citizens,0
162,3,0.01,0.25,0.1,1,high-degree-media,0
163,3,0.01,0.25,0.1,1,neighbors-of-neighbors,0
164,3,0.01,0.25,0.1,5,high-degree-cit-and-media,0
165,3,0.01,0.25,0.1,5,high-degree-citizens,0
166,3,0.01,0.25,0.1,5,high-degree-media,0
167,3,0.01,0.25,0.1,5,neighbors-of-neighbors,0
168,3,0.01,0.25,0.25,1,high-degree-cit-and-media,0
169,3,0.01,0.25,0.25,1,high-degree-citizens,0
170,3,0.01,0.25,0.25,1,high-degree-media,0
171,3,0.01,0.25,0.25,1,neighbors-of-neighbors,0
172,3,0.01,0.25,0.25,5,high-degree-cit-and-media,0
173,3,0.01,0.25,0.25,5,high-degree-citizens,0
174,3,0.01,0.25,0.25,5,high-degree-media,0
175,3,0.01,0.25,0.25,5,neighbors-of-neighbors,0
176,3,0.01,0.25,0.5,1,high-degree-cit-and-media,0
177,3,0.01,0.25,0.5,1,high-degree-citizens,0
178,3,0.01,0.25,0.5,1,high-degree-media,0
179,3,0.01,0.25,0.5,1,neighbors-of-neighbors,0
180,3,0.01,0.25,0.5,5,high-degree-cit-and-media,0
181,3,0.01,0.25,0.5,5,high-degree-citizens,0
182,3,0.01,0.25,0.5,5,high-degree-media,0
183,3,0.01,0.25,0.5,5,neighbors-of-neighbors,0
184,3,0.01,0.25,0.75,1,high-degree-cit-and-media,0
185,3,0.01,0.25,0.75,1,high-degree-citizens,0
186,3,0.01,0.25,0.75,1,high-degree-media,0
187,3,0.01,0.25,0.75,1,neighbors-of-neighbors,0
188,3,0.01,0.25,0.75,5,high-degree-cit-and-media,0
189,3,0.01,0.25,0.75,5,high-degree-citizens,0
190,3,0.01,0.25,0.75,5,high-degree-media,0
191,3,0.01,0.25,0.75,5,neighbors-of-neighbors,0
192,3,0.01,0.5,0.01,1,high-degree-cit-and-media,0
193,3,0.01,0.5,0.01,1,high-degree-citizens,0
194,3,0.01,0.5,0.01,1,high-degree-media,0
195,3,0.01,0.5,0.01,1,neighbors-of-neighbors,0
196,3,0.01,0.5,0.01,5,high-degree-cit-and-media,0
197,3,0.01,0.5,0.01,5,high-degree-citizens,0
198,3,0.01,0.5,0.01,5,high-degree-media,0
199,3,0.01,0.5,0.01,5,neighbors-of-neighbors,0
200,3,0.01,0.5,0.05,1,high-degree-cit-and-media,0
201,3,0.01,0.5,0.05,1,high-degree-citizens,0
202,3,0.01,0.5,0.05,1,high-degree-media,0
203,3,0.01,0.5,0.05,1,neighbors-of-neighbors,0
204,3,0.01,0.5,0.05,5,high-degree-cit-and-media,0
205,3,0.01,0.5,0.05,5,high-degree-citizens,0
206,3,0.01,0.5,0.05,5,high-degree-media,0
207,3,0.01,0.5,0.05,5,neighbors-of-neighbors,0
208,3,0.01,0.5,0.1,1,high-degree-cit-and-media,0
209,3,0.01,0.5,0.1,1,high-degree-citizens,0
210,3,0.01,0.5,0.1,1,high-degree-media,0
211,3,0.01,0.5,0.1,1,neighbors-of-neighbors,0
212,3,0.01,0.5,0.1,5,high-degree-cit-and-media,0
213,3,0.01,0.5,0.1,5,high-degree-citizens,0
214,3,0.01,0.5,0.1,5,high-degree-media,0
215,3,0.01,0.5,0.1,5,neighbors-of-neighbors,0
216,3,0.01,0.5,0.25,1,high-degree-cit-and-media,0
217,3,0.01,0.5,0.25,1,high-degree-citizens,0
218,3,0.01,0.5,0.25,1,high-degree-media,0
219,3,0.01,0.5,0.25,1,neighbors-of-neighbors,0
220,3,0.01,0.5,0.25,5,high-degree-cit-and-media,0
221,3,0.01,0.5,0.25,5,high-degree-citizens,0
222,3,0.01,0.5,0.25,5,high-degree-media,0
223,3,0.01,0.5,0.25,5,neighbors-of-neighbors,0
224,3,0.01,0.5,0.5,1,high-degree-cit-and-media,0
225,3,0.01,0.5,0.5,1,high-degree-citizens,0
226,3,0.01,0.5,0.5,1,high-degree-media,0
227,3,0.01,0.5,0.5,1,neighbors-of-neighbors,0
228,3,0.01,0.5,0.5,5,high-degree-cit-and-media,0
229,3,0.01,0.5,0.5,5,high-degree-citizens,0
230,3,0.01,0.5,0.5,5,high-degree-media,0
231,3,0.01,0.5,0.5,5,neighbors-of-neighbors,0
232,3,0.01,0.5,0.75,1,high-degree-cit-and-media,0
233,3,0.01,0.5,0.75,1,high-degree-citizens,0
234,3,0.01,0.5,0.75,1,high-degree-media,0
235,3,0.01,0.5,0.75,1,neighbors-of-neighbors,0
236,3,0.01,0.5,0.75,5,high-degree-cit-and-media,0
237,3,0.01,0.5,0.75,5,high-degree-citizens,0
238,3,0.01,0.5,0.75,5,high-degree-media,0
239,3,0.01,0.5,0.75,5,neighbors-of-neighbors,0
240,3,0.01,0.75,0.01,1,high-degree-cit-and-media,0
241,3,0.01,0.75,0.01,1,high-degree-citizens,0
242,3,0.01,0.75,0.01,1,high-degree-media,0
243,3,0.01,0.75,0.01,1,neighbors-of-neighbors,0
