,ba-m,simple-spread-chance,citizen-citizen-influence,citizen-media-influence,peak-time
395,10,0.5,0.75,0.75,3
396,10,0.75,0.01,0.01,36
397,10,0.75,0.01,0.05,20
398,10,0.75,0.01,0.1,15
399,10,0.75,0.01,0.25,9
400,10,0.75,0.01,0.5,7
401,10,0.75,0.01,0.75,7
402,10,0.75,0.05,0.01,29
403,10,0.75,0.05,0.05,16
404,10,0.75,0.05,0.1,9
405,10,0.75,0.05,0.25,7
406,10,0.75,0.05,0.5,6
407,10,0.75,0.05,0.75,6
408,10,0.75,0.1,0.01,12.5
409,10,0.75,0.1,0.05,8
410,10,0.75,0.1,0.1,9
411,10,0.75,0.1,0.25,6
412,10,0.75,0.1,0.5,4
413,10,0.75,0.1,0.75,5
414,10,0.75,0.25,0.01,18
415,10,0.75,0.25,0.05,8
416,10,0.75,0.25,0.1,5
417,10,0.75,0.25,0.25,5
418,10,0.75,0.25,0.5,4
419,10,0.75,0.25,0.75,3
420,10,0.75,0.5,0.01,12
421,10,0.75,0.5,0.05,5
422,10,0.75,0.5,0.1,5
423,10,0.75,0.5,0.25,4
424,10,0.75,0.5,0.5,4
425,10,0.75,0.5,0.75,3
426,10,0.75,0.75,0.01,10
427,10,0.75,0.75,0.05,5
428,10,0.75,0.75,0.1,5
429,10,0.75,0.75,0.25,5
430,10,0.75,0.75,0.5,3
431,10,0.75,0.75,0.75,3
