simple-spread-chance,citizen-media-influence,citizen-citizen-influence,ba-m,peak time
0.1,0.1,0.1,3,64.64
0.1,0.1,0.1,10,35.52
0.1,0.1,0.25,3,40.84
0.1,0.1,0.25,10,17.68
0.1,0.1,0.5,3,35.08
0.1,0.1,0.5,10,16.96
0.1,0.1,0.75,3,24.76
0.1,0.1,0.75,10,12.208333333333334
0.1,0.25,0.01,3,54.05555555555556
0.1,0.25,0.01,10,41.86363636363637
0.1,0.25,0.05,3,64.64
0.1,0.25,0.05,10,35.88
0.1,0.25,0.1,3,49.76
0.1,0.25,0.1,10,31.666666666666668
0.1,0.25,0.25,3,35.64
0.1,0.25,0.25,10,18.12
0.1,0.25,0.5,3,24.64
0.1,0.25,0.5,10,11.0
0.1,0.25,0.75,3,20.16
0.1,0.25,0.75,10,10.96
0.1,0.5,0.01,3,68.66666666666667
0.1,0.5,0.01,10,33.25
0.1,0.5,0.05,3,60.8
0.1,0.5,0.05,10,31.52
0.1,0.5,0.1,3,41.12
0.1,0.5,0.1,10,23.32
0.1,0.5,0.25,3,27.24
0.1,0.5,0.25,10,18.24
0.1,0.5,0.5,3,19.8
0.1,0.5,0.5,10,11.4
0.1,0.5,0.75,3,18.88
0.1,0.5,0.75,10,12.16
0.1,0.75,0.01,3,53.391304347826086
0.1,0.75,0.01,10,28.36
0.1,0.75,0.05,3,43.12
0.1,0.75,0.05,10,24.64
0.1,0.75,0.1,3,35.0
0.1,0.75,0.1,10,18.92
0.1,0.75,0.25,3,23.8
0.1,0.75,0.25,10,17.24
0.1,0.75,0.5,3,20.6
0.1,0.75,0.5,10,12.36
0.1,0.75,0.75,3,18.28
0.1,0.75,0.75,10,10.44
0.25,0.01,0.01,10,41.0
0.25,0.01,0.05,3,60.416666666666664
0.25,0.01,0.05,10,41.92
0.25,0.01,0.1,3,64.68181818181819
0.25,0.01,0.1,10,30.291666666666668
0.25,0.01,0.25,3,29.88
0.25,0.01,0.25,10,13.44
0.25,0.01,0.5,3,17.24
0.25,0.01,0.5,10,10.4
0.25,0.01,0.75,3,11.8
0.25,0.01,0.75,10,9.291666666666666
0.25,0.05,0.01,3,56.77272727272727
0.25,0.05,0.01,10,39.04761904761905
0.25,0.05,0.05,3,40.52
0.25,0.05,0.05,10,27.4
0.25,0.05,0.1,3,28.52
0.25,0.05,0.1,10,18.52
0.25,0.05,0.25,3,22.36
0.25,0.05,0.25,10,14.56
0.25,0.05,0.5,3,14.2
0.25,0.05,0.5,10,8.08
0.25,0.05,0.75,3,11.72
0.25,0.05,0.75,10,6.64
0.25,0.1,0.01,3,54.625
0.25,0.1,0.01,10,38.32
0.25,0.1,0.05,3,33.36
0.25,0.1,0.05,10,23.68
0.25,0.1,0.1,3,27.8
0.25,0.1,0.1,10,15.0
0.25,0.1,0.25,3,18.0
0.25,0.1,0.25,10,10.24
0.25,0.1,0.5,3,15.64
0.25,0.1,0.5,10,6.96
0.25,0.1,0.75,3,10.4
0.25,0.1,0.75,10,8.08
0.25,0.25,0.01,3,33.12
0.25,0.25,0.01,10,23.36
0.25,0.25,0.05,3,30.72
0.25,0.25,0.05,10,13.6
0.25,0.25,0.1,3,21.76
0.25,0.25,0.1,10,12.76
0.25,0.25,0.25,3,14.56
0.25,0.25,0.25,10,7.8
0.25,0.25,0.5,3,11.0
0.25,0.25,0.5,10,6.44
0.25,0.25,0.75,3,8.88
0.25,0.25,0.75,10,5.16
0.25,0.5,0.01,3,32.4
0.25,0.5,0.01,10,17.44
0.25,0.5,0.05,3,18.44
0.25,0.5,0.05,10,12.76
0.25,0.5,0.1,3,15.08
0.25,0.5,0.1,10,9.48
0.25,0.5,0.25,3,13.6
0.25,0.5,0.25,10,8.04
0.25,0.5,0.5,3,9.44
0.25,0.5,0.5,10,6.36
0.25,0.5,0.75,3,8.72
0.25,0.5,0.75,10,5.6
0.25,0.75,0.01,3,25.8
0.25,0.75,0.01,10,12.24
0.25,0.75,0.05,3,16.72
0.25,0.75,0.05,10,9.6
0.25,0.75,0.1,3,16.4
0.25,0.75,0.1,10,9.84
0.25,0.75,0.25,3,11.6
0.25,0.75,0.25,10,6.68
0.25,0.75,0.5,3,9.4
0.25,0.75,0.5,10,5.44
0.25,0.75,0.75,3,7.64
0.25,0.75,0.75,10,4.72
0.5,0.01,0.01,3,46.333333333333336
0.5,0.01,0.01,10,41.0
0.5,0.01,0.05,3,34.52173913043478
0.5,0.01,0.05,10,21.84
0.5,0.01,0.1,3,27.92
0.5,0.01,0.1,10,15.875
0.5,0.01,0.25,3,17.4
0.5,0.01,0.25,10,8.833333333333334
0.5,0.01,0.5,3,11.64
0.5,0.01,0.5,10,5.16
0.5,0.01,0.75,3,12.08
0.5,0.01,0.75,10,7.125
0.5,0.05,0.01,3,45.44
0.5,0.05,0.01,10,21.96
0.5,0.05,0.05,3,26.24
0.5,0.05,0.05,10,17.6
0.5,0.05,0.1,3,19.36
0.5,0.05,0.1,10,12.52
0.5,0.05,0.25,3,12.44
0.5,0.05,0.25,10,9.64
0.5,0.05,0.5,3,8.92
0.5,0.05,0.5,10,4.88
0.5,0.05,0.75,3,7.16
0.5,0.05,0.75,10,4.68
0.5,0.1,0.01,3,21.8
0.5,0.1,0.01,10,18.76
0.5,0.1,0.05,3,18.16
0.5,0.1,0.05,10,10.76
0.5,0.1,0.1,3,15.16
0.5,0.1,0.1,10,10.2
0.5,0.1,0.25,3,11.0
0.5,0.1,0.25,10,6.08
0.5,0.1,0.5,3,7.64
0.5,0.1,0.5,10,4.48
0.5,0.1,0.75,3,6.76
0.5,0.1,0.75,10,4.76
0.5,0.25,0.01,3,22.88
0.5,0.25,0.01,10,11.76
0.5,0.25,0.05,3,17.12
0.5,0.25,0.05,10,6.96
0.5,0.25,0.1,3,12.16
0.5,0.25,0.1,10,6.64
0.5,0.25,0.25,3,8.64
0.5,0.25,0.25,10,4.72
0.5,0.25,0.5,3,6.84
0.5,0.25,0.5,10,4.04
0.5,0.25,0.75,3,5.56
0.5,0.25,0.75,10,4.0
0.5,0.5,0.01,3,14.44
0.5,0.5,0.01,10,6.36
0.5,0.5,0.05,3,12.52
0.5,0.5,0.05,10,5.52
0.5,0.5,0.1,3,10.52
0.5,0.5,0.1,10,5.96
0.5,0.5,0.25,3,7.56
0.5,0.5,0.25,10,4.16
0.5,0.5,0.5,3,5.56
0.5,0.5,0.5,10,3.72
0.5,0.5,0.75,3,5.16
0.5,0.5,0.75,10,3.48
0.5,0.75,0.01,3,16.12
0.5,0.75,0.01,10,7.16
0.5,0.75,0.05,3,9.92
0.5,0.75,0.05,10,4.84
0.5,0.75,0.1,3,8.6
0.5,0.75,0.1,10,4.24
0.5,0.75,0.25,3,6.92
0.5,0.75,0.25,10,4.72
0.5,0.75,0.5,3,5.64
0.5,0.75,0.5,10,3.92
0.5,0.75,0.75,3,5.28
0.5,0.75,0.75,10,3.2
0.75,0.01,0.01,3,45.63636363636363
0.75,0.01,0.01,10,28.347826086956523
0.75,0.01,0.05,3,26.44
0.75,0.01,0.05,10,16.44
0.75,0.01,0.1,3,19.32
0.75,0.01,0.1,10,9.833333333333334
0.75,0.01,0.25,3,10.72
0.75,0.01,0.25,10,10.48
0.75,0.01,0.5,3,8.6
0.75,0.01,0.5,10,7.44
0.75,0.01,0.75,3,8.2
0.75,0.01,0.75,10,8.88
0.75,0.05,0.01,3,28.04
0.75,0.05,0.01,10,15.52
0.75,0.05,0.05,3,15.48
0.75,0.05,0.05,10,10.28
0.75,0.05,0.1,3,12.6
0.75,0.05,0.1,10,8.8
0.75,0.05,0.25,3,9.88
0.75,0.05,0.25,10,4.6
0.75,0.05,0.5,3,6.8
0.75,0.05,0.5,10,4.24
0.75,0.05,0.75,3,5.28
0.75,0.05,0.75,10,3.24
0.75,0.1,0.01,3,18.48
0.75,0.1,0.01,10,9.72
0.75,0.1,0.05,3,13.0
0.75,0.1,0.05,10,8.76
0.75,0.1,0.1,3,10.4
0.75,0.1,0.1,10,7.16
0.75,0.1,0.25,3,7.96
0.75,0.1,0.25,10,4.64
0.75,0.1,0.5,3,5.48
0.75,0.1,0.5,10,3.6
0.75,0.1,0.75,3,4.76
0.75,0.1,0.75,10,3.32
0.75,0.25,0.01,3,19.0
0.75,0.25,0.01,10,7.96
0.75,0.25,0.05,3,7.96
0.75,0.25,0.05,10,5.48
0.75,0.25,0.1,3,7.8
0.75,0.25,0.1,10,4.72
0.75,0.25,0.25,3,7.08
0.75,0.25,0.25,10,4.16
0.75,0.25,0.5,3,5.12
0.75,0.25,0.5,10,3.32
0.75,0.25,0.75,3,4.48
0.75,0.25,0.75,10,3.12
0.75,0.5,0.01,3,10.8
0.75,0.5,0.01,10,5.24
0.75,0.5,0.05,3,7.92
0.75,0.5,0.05,10,4.4
0.75,0.5,0.1,3,6.44
0.75,0.5,0.1,10,3.92
0.75,0.5,0.25,3,5.6
0.75,0.5,0.25,10,3.48
0.75,0.5,0.5,3,4.8
0.75,0.5,0.5,10,3.24
0.75,0.5,0.75,3,4.32
0.75,0.5,0.75,10,2.8181818181818183
0.75,0.75,0.01,3,10.44
0.75,0.75,0.01,10,4.0
0.75,0.75,0.05,3,6.8
0.75,0.75,0.05,10,3.96
0.75,0.75,0.1,3,6.12
0.75,0.75,0.1,10,3.8
0.75,0.75,0.25,3,5.32
0.75,0.75,0.25,10,3.04
0.75,0.75,0.5,3,4.76
0.75,0.75,0.5,10,2.92
0.75,0.75,0.75,3,4.12
0.75,0.75,0.75,10,2.68
