,ba-m,simple-spread-chance,citizen-citizen-influence,citizen-media-influence,threshold
344,10,0.25,0.25,0.1,0
345,10,0.25,0.25,0.25,0
346,10,0.25,0.25,0.5,0
347,10,0.25,0.25,0.75,0
348,10,0.25,0.5,0.01,0
349,10,0.25,0.5,0.05,0
350,10,0.25,0.5,0.1,0
351,10,0.25,0.5,0.25,0
352,10,0.25,0.5,0.5,0
353,10,0.25,0.5,0.75,0
354,10,0.25,0.75,0.01,0
355,10,0.25,0.75,0.05,0
356,10,0.25,0.75,0.1,0
357,10,0.25,0.75,0.25,0
358,10,0.25,0.75,0.5,0
359,10,0.25,0.75,0.75,0
360,10,0.5,0.01,0.01,0
361,10,0.5,0.01,0.05,0
362,10,0.5,0.01,0.1,0
363,10,0.5,0.01,0.25,0
364,10,0.5,0.01,0.5,0
365,10,0.5,0.01,0.75,0
366,10,0.5,0.05,0.01,0
367,10,0.5,0.05,0.05,0
368,10,0.5,0.05,0.1,5
369,10,0.5,0.05,0.25,0
370,10,0.5,0.05,0.5,0
371,10,0.5,0.05,0.75,0
372,10,0.5,0.1,0.01,0
373,10,0.5,0.1,0.05,0
374,10,0.5,0.1,0.1,0
375,10,0.5,0.1,0.25,0
376,10,0.5,0.1,0.5,0
377,10,0.5,0.1,0.75,0
378,10,0.5,0.25,0.01,0
379,10,0.5,0.25,0.05,0
380,10,0.5,0.25,0.1,0
381,10,0.5,0.25,0.25,0
382,10,0.5,0.25,0.5,0
383,10,0.5,0.25,0.75,0
384,10,0.5,0.5,0.01,0
385,10,0.5,0.5,0.05,0
386,10,0.5,0.5,0.1,0
387,10,0.5,0.5,0.25,0
388,10,0.5,0.5,0.5,0
389,10,0.5,0.5,0.75,0
390,10,0.5,0.75,0.01,0
391,10,0.5,0.75,0.05,0
392,10,0.5,0.75,0.1,0
393,10,0.5,0.75,0.25,0
394,10,0.5,0.75,0.5,0
395,10,0.5,0.75,0.75,0
396,10,0.75,0.01,0.01,0
397,10,0.75,0.01,0.05,0
398,10,0.75,0.01,0.1,0
399,10,0.75,0.01,0.25,0
400,10,0.75,0.01,0.5,0
401,10,0.75,0.01,0.75,0
402,10,0.75,0.05,0.01,0
403,10,0.75,0.05,0.05,0
404,10,0.75,0.05,0.1,0
405,10,0.75,0.05,0.25,0
406,10,0.75,0.05,0.5,0
407,10,0.75,0.05,0.75,0
408,10,0.75,0.1,0.01,0
409,10,0.75,0.1,0.05,0
410,10,0.75,0.1,0.1,0
411,10,0.75,0.1,0.25,0
412,10,0.75,0.1,0.5,0
413,10,0.75,0.1,0.75,0
414,10,0.75,0.25,0.01,0
415,10,0.75,0.25,0.05,0
416,10,0.75,0.25,0.1,0
417,10,0.75,0.25,0.25,0
418,10,0.75,0.25,0.5,0
419,10,0.75,0.25,0.75,0
420,10,0.75,0.5,0.01,0
421,10,0.75,0.5,0.05,0
422,10,0.75,0.5,0.1,0
423,10,0.75,0.5,0.25,0
424,10,0.75,0.5,0.5,0
425,10,0.75,0.5,0.75,0
426,10,0.75,0.75,0.01,0
427,10,0.75,0.75,0.05,0
428,10,0.75,0.75,0.1,0
429,10,0.75,0.75,0.25,0
430,10,0.75,0.75,0.5,0
431,10,0.75,0.75,0.75,0
